City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,lebu,-37.6167,-73.65,18.62,68,1,5.13,CL,1705954643
1,fortuna,40.5982,-124.1573,17.18,87,75,0.89,US,1705954644
2,dili,-8.5586,125.5736,27.54,79,100,2.19,TL,1705954644
3,myeik,12.4333,98.6,21.06,68,29,2.09,MM,1705954645
4,cidreira,-30.1811,-50.2056,22.68,66,98,6.76,BR,1705954645
5,ushuaia,-54.8,-68.3,17.79,54,0,12.35,AR,1705954645
6,longyearbyen,78.2186,15.6401,-6.09,73,75,16.98,SJ,1705954645
7,anadyr,64.75,177.4833,-13.72,92,20,2.0,RU,1705954646
8,flying fish cove,-10.4217,105.6791,25.82,88,75,2.57,CX,1705954646
9,nemuro,43.3236,145.575,0.05,86,100,8.24,JP,1705954587
10,utrik,11.2278,169.8474,26.13,78,100,9.4,MH,1705954646
11,waitangi,-43.9535,-176.5597,18.23,98,100,8.05,NZ,1705954646
12,yellowknife,62.456,-114.3525,-24.77,95,100,6.17,CA,1705954647
13,kerikeri,-35.2268,173.9474,22.17,92,65,3.25,NZ,1705954606
14,vilhena,-12.7406,-60.1458,24.12,94,100,6.17,BR,1705954647
15,buala,-8.145,159.5921,27.58,84,99,2.26,SB,1705954647
16,severo-yeniseyskiy,60.3725,93.0408,-19.68,93,100,2.24,RU,1705954648
17,ariquemes,-9.9133,-63.0408,29.76,68,89,0.99,BR,1705954648
18,mersa matruh,31.3525,27.2453,15.5,64,99,7.09,EG,1705954648
19,grytviken,-54.2811,-36.5092,2.9,78,82,5.08,GS,1705954648
20,vilyuysk,63.7553,121.6247,-32.78,100,100,1.34,RU,1705954649
21,adamstown,-25.066,-130.1015,24.5,82,100,6.44,PN,1705954649
22,rakovski,42.3,24.9667,-5.08,79,1,1.27,BG,1705954649
23,port-aux-francais,-49.35,70.2167,6.79,87,84,9.01,TF,1705954649
24,ilha de mocambique,-15.0342,40.7358,26.64,85,100,4.48,MZ,1705954649
25,tiksi,71.6872,128.8694,-25.46,91,100,11.15,RU,1705954650
26,codrington,-38.2667,141.9667,11.2,86,96,3.33,AU,1705954650
27,margaret river,-33.95,115.0667,16.67,79,14,3.99,AU,1705954650
